old iri,new iri
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus0930,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000167
http://www.ontologyrepository.com/CommonCoreOntologies/UniversalTime1D,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000168
http://www.ontologyrepository.com/CommonCoreOntologies/BarycentricCoordinateTime,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000169
http://www.ontologyrepository.com/CommonCoreOntologies/UniversalTransverseMercatorReferenceSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000170
http://www.ontologyrepository.com/CommonCoreOntologies/WorldGeodeticSystem1984,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000171
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus0530,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000172
http://www.ontologyrepository.com/CommonCoreOntologies/DeltaTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000173
http://www.ontologyrepository.com/CommonCoreOntologies/GolfTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000174
http://www.ontologyrepository.com/CommonCoreOntologies/FoxtrotTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000175
http://www.ontologyrepository.com/CommonCoreOntologies/GMTminus6,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000176
http://www.ontologyrepository.com/CommonCoreOntologies/JulianCalendar,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000177
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus8,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000178
http://www.ontologyrepository.com/CommonCoreOntologies/AlphaTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000179
http://www.ontologyrepository.com/CommonCoreOntologies/GMT,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000180
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus5,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000181
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus1,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000182
http://www.ontologyrepository.com/CommonCoreOntologies/YankeeTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000183
http://www.ontologyrepository.com/CommonCoreOntologies/EarthCenteredEarthFixedCoordinateSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000184
http://www.ontologyrepository.com/CommonCoreOntologies/GMTminus3,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000185
http://www.ontologyrepository.com/CommonCoreOntologies/HotelTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000186
http://www.ontologyrepository.com/CommonCoreOntologies/GeocentricCoordinateTime,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000187
http://www.ontologyrepository.com/CommonCoreOntologies/GMTminus0330,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000188
http://www.ontologyrepository.com/CommonCoreOntologies/OscarTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000189
http://www.ontologyrepository.com/CommonCoreOntologies/UniversalTime1R,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000190
http://www.ontologyrepository.com/CommonCoreOntologies/KiloTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000191
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus3,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000192
http://www.ontologyrepository.com/CommonCoreOntologies/TerrestrialTime,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000193
http://www.ontologyrepository.com/CommonCoreOntologies/RomeoTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000194
http://www.ontologyrepository.com/CommonCoreOntologies/MikeTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000195
http://www.ontologyrepository.com/CommonCoreOntologies/InternationalAtomicTime,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000196
http://www.ontologyrepository.com/CommonCoreOntologies/GMTminus1,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000197
http://www.ontologyrepository.com/CommonCoreOntologies/CoordinatedUniversalTime,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000198
http://www.ontologyrepository.com/CommonCoreOntologies/GlobalAreaReferenceSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000199
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus12,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000200
